,week,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
241,2018-01-07,4,4,6,1,0.0,-1.0,1.0,0.0,1.0,2.0,-1.0,-3.0
242,2018-01-14,4,3,5,2,0.0,0.0,-1.0,-2.0,-1.0,-2.0,1.0,2.0
243,2018-01-21,5,6,7,1,1.0,1.0,3.0,4.0,2.0,3.0,-1.0,-2.0
244,2018-01-28,3,2,4,1,-2.0,-3.0,-4.0,-7.0,-3.0,-5.0,0.0,1.0
245,2018-02-04,3,3,5,1,0.0,2.0,1.0,5.0,1.0,4.0,0.0,0.0
246,2018-02-11,5,3,5,1,2.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0
247,2018-02-18,4,3,7,2,-1.0,-3.0,0.0,0.0,2.0,2.0,1.0,1.0
248,2018-02-25,3,3,7,1,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-2.0
249,2018-03-04,3,3,7,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
250,2018-03-11,4,3,8,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
251,2018-03-18,4,4,5,1,0.0,-1.0,1.0,1.0,-3.0,-4.0,-1.0,-1.0
252,2018-03-25,3,3,8,2,-1.0,-1.0,-1.0,-2.0,3.0,6.0,1.0,2.0
253,2018-04-01,4,3,9,2,1.0,2.0,0.0,1.0,1.0,-2.0,0.0,-1.0
254,2018-04-08,3,2,8,3,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0
